id,age,year,female,married,educ,empl,income,rent,equity,finassets,liqassets,houses,business,vehicles,assets,mortages,debt,networth,owner,weight
111,67,1989,1,0,4,2,180391.3,1613.909378,0,601757.6,140640.7,0,345837.7,18444.67861,1911329.8,0,0,1911329.8,0,65491.58
112,34,1989,0,1,2,1,139502.6,0,212113.8,239688.6,20358.3,265142.3,0,59945.20548,564776.1,189058,240933.6,323842.4,1,75961.25
113,59,1989,0,0,3,3,43293.9,0,16830.8,21441.9,4611.2,138335.1,0,16139.09378,175916.1,13833.5,13833.5,162082.6,1,44139.43
114,67,1989,0,1,4,3,20071533.8,0,488784,4717226.6,673230.8,922233.9,186752.4,214419.3888,9383730.2,0,0,9383730.2,1,855.741
115,68,1989,0,1,4,1,430533.8,0,878427.8,2558046.4,540659.6,749315.1,0,92223.39305,4250345.6,329698.6,733176,3517169.7,1,1799.216
116,65,1989,0,1,4,2,1344516.2,0,7509289.8,15067227.4,18675.2,562101.6,10050505.4,26860.06322,25937252.9,34583.8,544118,25393134.9,1,2469.665
117,57,1989,0,1,4,2,437749.4,0,474950.5,901944.8,63864.7,806954.7,92223.4,214419.3888,2790218.8,431144.4,756231.8,2033986.9,1,812.8431
118,40,1989,0,1,4,1,76966.9,0,92223.4,154474.2,62250.8,518756.6,0,16139.09378,1842162.3,69167.5,76084.3,1766078,1,15445.2
119,70,1989,0,1,3,2,3367303.4,0,0,7126562.7,48417.3,576396.2,24208640.7,260992.2023,32506901.6,0,0,32506901.6,1,272.0751
120,79,1989,0,1,4,3,310273,0,470339.3,1436379.3,136029.5,1152792.4,514145.4,18444.67861,6056771.3,0,0,6056771.3,1,21482.82
121,61,1989,0,1,4,1,8899302,0,691675.4,7207258.2,3818048.5,599452.1,15677976.8,43806.1117,30996282.4,403477.3,403477.3,30592805.1,1,222.8233
122,49,1989,0,1,4,1,440154.7,0,0,403477.3,34583.8,1498630.1,0,142946.2592,2759785,733176,981026.3,1778758.7,1,15557.55
123,66,1989,0,1,4,3,173175.6,0,509534.2,2329701.2,452955.2,1325711.3,0,23055.84826,4370143.8,0,0,4370143.8,1,21482.82
124,31,1989,0,1,4,1,16836.5,0,65709.2,196090,36889.4,106056.9,0,50722.86617,352869.8,76084.3,96834.6,256035.2,1,92088.26
125,41,1989,0,1,4,1,88993,0,5764,70896.7,4034.8,283586.9,0,6686.195996,368086.6,195974.7,196666.4,171420.2,1,50744.89
126,69,1989,1,0,1,3,14431.3,115.2792413,0,6916.8,6916.8,0,0,0,6916.8,0,0,6916.8,0,32232.24
127,61,1989,0,1,3,1,115450.4,0,230558.5,472644.9,27667,69167.5,0,27667.01791,800037.9,0,18444.7,781593.3,1,20566.04
128,33,1989,0,1,4,1,185201.7,0,2305.6,191363.5,4611.2,249003.2,0,46111.69652,548729.2,177530,198280.3,350448.9,1,14735.17
129,30,1989,1,0,2,1,16836.5,991.4014752,0,0,0,0,0,0,11527.9,0,0,11527.9,0,40933.73
130,56,1989,0,1,4,3,343946,0,0,1394878.8,112973.7,576396.2,6870642.8,64556.37513,9044809.3,0,0,9044809.3,1,659.8124
131,61,1989,0,1,2,2,560415.5,0,160238.1,2342935.3,39194.9,115279.2,1383350.9,66861.95996,3908427.4,0,0,3908427.4,1,21482.82
132,21,1989,1,0,2,4,12026.1,184.4467861,0,0,0,0,0,4611.169652,4611.2,0,5764,-1152.8,0,99829.06
133,29,1989,1,0,4,2,137097.4,0,18444.7,577433.7,494432.7,1268071.7,871511.1,64556.37513,4303258.8,461117,1194292.9,3108965.9,1,10189.98
134,68,1989,0,1,2,3,117855.6,0,66862,205197,112973.7,454200.2,0,36889.35722,696286.6,0,0,696286.6,1,18550.76
135,41,1989,0,1,4,1,156339.1,0,0,54181.2,45650.6,461117,0,13833.50896,529131.7,133723.9,142946.3,386185.5,1,44333.72
136,41,1989,0,1,1,1,69751.3,0,0,5302.8,4611.2,101445.7,0,16139.09378,122887.7,0,7792.9,115094.8,1,32418.13
137,50,1989,0,1,2,1,24052.2,0,0,23217.2,161.4,99140.1,0,23055.84826,145413.2,0,18444.7,126968.6,1,55178.98
138,41,1989,0,1,4,1,62535.6,0,0,60406.3,16139.1,0,0,3988.661749,64395,0,2997.3,61397.7,0,48214.98
139,61,1989,0,1,2,2,158744.3,0,83001.1,314020.7,21211.4,195974.7,103751.3,138335.0896,752081.8,62250.8,110668.1,641413.7,1,2292.297
140,58,1989,0,1,2,1,19241.7,0,0,0,0,0,0,6916.754478,6916.8,0,17706.9,-10790.1,0,32334.18
141,58,1989,0,1,4,2,637382.4,0,1268071.7,1574714.4,265142.3,806954.7,1383350.9,46111.69652,5005424.7,415005.3,415005.3,4590419.4,1,613.4218
142,36,1989,0,1,3,1,120260.8,1037.513172,0,4611.2,4611.2,0,11527.9,4611.169652,20750.3,0,576.4,20173.9,0,46899.59
143,73,1989,0,1,1,3,1760618.7,9222.339305,69167.5,18158786.1,797732.3,0,1152792.4,202891.4647,20828653.3,0,0,20828653.3,0,74.88326
144,59,1989,0,1,1,2,315083.4,0,0,659397.3,126807.2,149863,2997260.3,0,4297610.1,0,0,4297610.1,1,7243.244
145,78,1989,1,0,1,3,9620.9,0,0,1613.9,1613.9,34583.8,0,0,36197.7,0,0,36197.7,1,37298.85
146,59,1989,0,0,4,2,202038.2,0,11527.9,192977.4,23055.8,126807.2,184446.8,18444.67861,603371.5,69167.5,124501.6,478870,1,1606.613
147,65,1989,0,1,2,2,962086.7,0,991401.5,1014457.3,23055.8,1037513.2,17753003.2,161390.9378,25499768.2,0,0,25499768.2,1,1864.64
148,65,1989,1,0,2,3,67346.1,0,267447.8,817629.5,10674.9,207502.6,0,9222.339305,1034815.6,0,0,1034815.6,1,16746.49
149,48,1989,1,0,2,2,19241.7,438.061117,0,76084.3,0,0,0,1152.792413,234048.2,0,691.7,233356.5,0,36789.03
150,57,1989,0,1,4,2,1055890.2,0,50722.9,1662326.7,1005235,385032.7,1440990.5,124501.5806,5798545.8,149863,219030.6,5579515.3,1,1225.918
151,62,1989,0,1,4,1,3126781.8,0,9591232.9,13015026.3,373504.7,576396.2,0,179835.6164,14670436.2,438061.1,1002929.4,13667506.8,1,1126.294
152,49,1989,0,1,4,2,1298817,0,1261616,4284237.7,862749.8,1152792.4,4611169.7,375810.3267,10677624.4,458811.4,458811.4,10218813.1,1,655.2808
153,79,1989,1,0,1,3,31267.8,0,13833.5,33315.7,4611.2,71473.1,0,0,104788.8,0,0,104788.8,1,52483.18
154,32,1989,0,1,1,1,24052.2,0,0,0,0,6916.8,0,2305.584826,9222.3,0,0,9222.3,1,45419.49
155,53,1989,1,0,1,3,9620.9,1014.457323,0,4680.3,4680.3,0,0,645.5637513,5325.9,0,0,5325.9,0,40172.5
156,34,1989,0,1,4,2,863472.8,0,0,661702.8,640952.6,599452.1,1037513.2,89917.80822,2996683.9,255919.9,255919.9,2740764,1,12496.81
